participantId,visual,trialCount,truePercentage,userAnswer,error
m53pdxbn,vertical_bar,31,65,55,3.3398500028846247
m53pdxbn,horizontal_bar,32,59,70,3.4757334309663976
m53pdxbn,vertical_bar,33,0,0,0
m53pdxbn,vertical_bar,34,75,75,0
m53pdxbn,vertical_bar,35,27,25,1.0874628412503393
m53pdxbn,vertical_bar,36,9,15,2.6147098441152083
m53pdxbn,pie,37,49,65,4.011227255423254
m53pdxbn,pie,38,64,60,2.0443941193584534
m53pdxbn,horizontal_bar,39,92,90,1.0874628412503393
m53pdxbn,vertical_bar,40,78,80,1.0874628412503393
m53pdxbn,pie,41,76,80,2.0443941193584534
m53pdxbn,vertical_bar,42,92,95,1.6438561897747248
m53pdxbn,vertical_bar,43,55,55,0
m53pdxbn,vertical_bar,44,24,25,0.16992500144231237
m53pdxbn,pie,45,19,25,2.6147098441152083
m53pdxbn,vertical_bar,46,66,70,2.0443941193584534
m53pdxbn,pie,47,55,65,3.3398500028846247
m53pdxbn,vertical_bar,48,42,45,1.6438561897747248
m53pdxbn,pie,49,70,70,0
m53pdxbn,vertical_bar,50,83,85,1.0874628412503393
m53pdxbn,horizontal_bar,51,60,65,2.357552004618084
m53pdxbn,pie,52,38,35,1.6438561897747248
m53pdxbn,horizontal_bar,53,33,30,1.6438561897747248
m53pdxbn,vertical_bar,54,16,20,2.0443941193584534
m53pdxbn,pie,55,13,15,1.0874628412503393
m53pdxbn,pie,56,24,20,2.0443941193584534
m53pdxbn,pie,57,76,70,2.6147098441152083
m53pdxbn,pie,58,56,70,3.820178962415188
m53pdxbn,horizontal_bar,59,58,65,2.8328900141647417
m53pdxbn,horizontal_bar,60,77,70,2.8328900141647417
em0rbvtr,pie,1,25,30,2.357552004618084
em0rbvtr,vertical_bar,2,59,60,0.16992500144231237
em0rbvtr,horizontal_bar,3,99,95,2.0443941193584534
em0rbvtr,pie,4,56,70,3.820178962415188
em0rbvtr,pie,5,35,40,2.357552004618084
em0rbvtr,vertical_bar,6,0,0,0
em0rbvtr,vertical_bar,7,66,65,0.16992500144231237
em0rbvtr,horizontal_bar,8,71,75,2.0443941193584534
em0rbvtr,horizontal_bar,9,64,65,0.16992500144231237
em0rbvtr,horizontal_bar,10,77,80,1.6438561897747248
em0rbvtr,horizontal_bar,11,36,40,2.0443941193584534
em0rbvtr,horizontal_bar,12,94,95,0.16992500144231237
em0rbvtr,pie,13,3,5,1.0874628412503393
em0rbvtr,horizontal_bar,14,90,90,0
em0rbvtr,horizontal_bar,15,14,15,0.16992500144231237
em0rbvtr,pie,16,55,70,3.9188632372745946
em0rbvtr,vertical_bar,17,70,65,2.357552004618084
em0rbvtr,horizontal_bar,18,65,80,3.9188632372745946
em0rbvtr,horizontal_bar,19,11,10,0.16992500144231237
em0rbvtr,horizontal_bar,20,52,50,1.0874628412503393
em0rbvtr,pie,21,57,60,1.6438561897747248
em0rbvtr,vertical_bar,22,66,60,2.6147098441152083
em0rbvtr,horizontal_bar,23,29,35,2.6147098441152083
em0rbvtr,vertical_bar,24,77,75,1.0874628412503393
em0rbvtr,horizontal_bar,25,1,5,2.0443941193584534
em0rbvtr,horizontal_bar,26,27,35,3.0223678130284544
em0rbvtr,horizontal_bar,27,4,5,0.16992500144231237
em0rbvtr,vertical_bar,28,88,100,3.599912842187128
em0rbvtr,pie,29,35,30,2.357552004618084
em0rbvtr,pie,30,46,40,2.6147098441152083
em0rbvtr,vertical_bar,31,34,40,2.6147098441152083
em0rbvtr,pie,32,96,100,2.0443941193584534
em0rbvtr,vertical_bar,33,83,85,1.0874628412503393
em0rbvtr,vertical_bar,34,50,50,0
em0rbvtr,pie,35,55,60,2.357552004618084
em0rbvtr,horizontal_bar,36,15,20,2.357552004618084
em0rbvtr,pie,37,98,100,1.0874628412503393
em0rbvtr,horizontal_bar,38,8,10,1.0874628412503393
em0rbvtr,horizontal_bar,39,18,25,2.8328900141647417
em0rbvtr,vertical_bar,40,83,80,1.6438561897747248
em0rbvtr,vertical_bar,41,23,25,1.0874628412503393
em0rbvtr,vertical_bar,42,64,55,3.189824558880017
em0rbvtr,horizontal_bar,43,11,15,2.0443941193584534
em0rbvtr,pie,44,20,20,0
em0rbvtr,pie,45,49,65,4.011227255423254
em0rbvtr,horizontal_bar,46,89,85,2.0443941193584534
em0rbvtr,vertical_bar,47,56,50,2.6147098441152083
em0rbvtr,vertical_bar,48,65,60,2.357552004618084
em0rbvtr,vertical_bar,49,22,75,5.731319031025064
em0rbvtr,vertical_bar,50,92,90,1.0874628412503393
em0rbvtr,vertical_bar,51,93,95,1.0874628412503393
em0rbvtr,vertical_bar,52,14,20,2.6147098441152083
em0rbvtr,pie,53,72,70,1.0874628412503393
em0rbvtr,pie,54,0,0,0
em0rbvtr,pie,55,5,5,0
em0rbvtr,vertical_bar,56,90,95,2.357552004618084
em0rbvtr,pie,57,38,40,1.0874628412503393
em0rbvtr,pie,58,42,35,2.8328900141647417
em0rbvtr,pie,59,75,85,3.3398500028846247
em0rbvtr,pie,60,23,35,3.599912842187128
swiri62b,pie,1,8,15,2.8328900141647417
swiri62b,vertical_bar,2,3,5,1.0874628412503393
swiri62b,vertical_bar,3,20,45,4.651051691178929
swiri62b,pie,4,20,15,2.357552004618084
swiri62b,vertical_bar,5,89,85,2.0443941193584534
swiri62b,pie,6,55,60,2.357552004618084
swiri62b,vertical_bar,7,15,15,0
swiri62b,horizontal_bar,8,11,10,0.16992500144231237
swiri62b,vertical_bar,9,60,60,0
swiri62b,horizontal_bar,10,95,90,2.357552004618084
swiri62b,pie,11,94,100,2.6147098441152083
swiri62b,vertical_bar,12,0,0,0
swiri62b,pie,13,58,60,1.0874628412503393
swiri62b,horizontal_bar,14,77,80,1.6438561897747248
swiri62b,vertical_bar,15,62,55,2.8328900141647417
swiri62b,pie,16,49,60,3.4757334309663976
swiri62b,horizontal_bar,17,0,0,0
swiri62b,horizontal_bar,18,21,20,0.16992500144231237
swiri62b,pie,19,91,100,3.189824558880017
swiri62b,horizontal_bar,20,51,55,2.0443941193584534
swiri62b,pie,21,25,35,3.3398500028846247
swiri62b,pie,22,30,40,3.3398500028846247
swiri62b,vertical_bar,23,78,80,1.0874628412503393
swiri62b,pie,24,42,50,3.0223678130284544
swiri62b,vertical_bar,25,75,75,0
swiri62b,vertical_bar,26,88,90,1.0874628412503393
swiri62b,vertical_bar,27,62,55,2.8328900141647417
swiri62b,horizontal_bar,28,40,45,2.357552004618084
swiri62b,pie,29,88,100,3.599912842187128
swiri62b,horizontal_bar,30,51,50,0.16992500144231237
swiri62b,horizontal_bar,31,63,75,3.599912842187128
swiri62b,pie,32,16,15,0.16992500144231237
swiri62b,pie,33,43,60,4.098032082960526
swiri62b,horizontal_bar,34,73,80,2.8328900141647417
swiri62b,vertical_bar,35,46,50,2.0443941193584534
swiri62b,vertical_bar,36,24,25,0.16992500144231237
swiri62b,horizontal_bar,37,6,10,2.0443941193584534
swiri62b,horizontal_bar,38,96,90,2.6147098441152083
swiri62b,pie,39,52,60,3.0223678130284544
swiri62b,vertical_bar,40,99,100,0.16992500144231237
swiri62b,horizontal_bar,41,9,10,0.16992500144231237
swiri62b,vertical_bar,42,36,40,2.0443941193584534
swiri62b,vertical_bar,43,81,80,0.16992500144231237
swiri62b,vertical_bar,44,17,15,1.0874628412503393
swiri62b,horizontal_bar,45,80,85,2.357552004618084
swiri62b,vertical_bar,46,25,40,3.9188632372745946
swiri62b,horizontal_bar,47,4,10,2.6147098441152083
swiri62b,pie,48,34,40,2.6147098441152083
swiri62b,pie,49,23,20,1.6438561897747248
swiri62b,vertical_bar,50,91,90,0.16992500144231237
swiri62b,vertical_bar,51,96,95,0.16992500144231237
swiri62b,horizontal_bar,52,3,5,1.0874628412503393
swiri62b,horizontal_bar,53,9,15,2.6147098441152083
swiri62b,pie,54,19,25,2.6147098441152083
swiri62b,horizontal_bar,55,25,25,0
swiri62b,horizontal_bar,56,10,15,2.357552004618084
swiri62b,horizontal_bar,57,85,85,0
swiri62b,pie,58,77,100,4.531381460516312
swiri62b,pie,59,37,45,3.0223678130284544
swiri62b,pie,60,24,35,3.4757334309663976
0yuyt6qj,horizontal_bar,1,73,75,1.0874628412503393
0yuyt6qj,pie,2,9,12,1.6438561897747248
0yuyt6qj,horizontal_bar,3,85,85,0
0yuyt6qj,pie,4,90,68,4.467605550082998
0yuyt6qj,pie,5,0,0,0
0yuyt6qj,vertical_bar,6,79,83,2.0443941193584534
0yuyt6qj,horizontal_bar,7,3,4,0.16992500144231237
0yuyt6qj,pie,8,63,58,2.357552004618084
0yuyt6qj,pie,9,17,18,0.16992500144231237
0yuyt6qj,pie,10,66,66,0
0yuyt6qj,horizontal_bar,11,43,47,2.0443941193584534
0yuyt6qj,pie,12,72,58,3.820178962415188
0yuyt6qj,pie,13,22,24,1.0874628412503393
0yuyt6qj,horizontal_bar,14,87,77,3.3398500028846247
0yuyt6qj,vertical_bar,15,97,98,0.16992500144231237
0yuyt6qj,pie,16,26,23,1.6438561897747248
0yuyt6qj,pie,17,79,65,3.820178962415188
0yuyt6qj,vertical_bar,18,3,3,0
0yuyt6qj,vertical_bar,19,18,25,2.8328900141647417
0yuyt6qj,pie,20,44,42,1.0874628412503393
0yuyt6qj,pie,21,37,40,1.6438561897747248
0yuyt6qj,vertical_bar,22,22,27,2.357552004618084
0yuyt6qj,pie,23,53,46,2.8328900141647417
0yuyt6qj,pie,24,26,33,2.8328900141647417
0yuyt6qj,pie,25,35,22,3.7142455176661224
0yuyt6qj,vertical_bar,26,92,92,0
0yuyt6qj,horizontal_bar,27,94,98,2.0443941193584534
0yuyt6qj,horizontal_bar,28,100,100,0
0yuyt6qj,pie,29,86,95,3.189824558880017
0yuyt6qj,horizontal_bar,30,8,15,2.8328900141647417
0yuyt6qj,pie,31,85,70,3.9188632372745946
0yuyt6qj,horizontal_bar,32,57,67,3.3398500028846247
0yuyt6qj,pie,33,93,100,2.8328900141647417
0yuyt6qj,vertical_bar,34,52,50,1.0874628412503393
0yuyt6qj,vertical_bar,35,81,88,2.8328900141647417
0yuyt6qj,horizontal_bar,36,32,29,1.6438561897747248
0yuyt6qj,horizontal_bar,37,94,91,1.6438561897747248
0yuyt6qj,pie,38,43,33,3.3398500028846247
0yuyt6qj,horizontal_bar,39,20,25,2.357552004618084
0yuyt6qj,vertical_bar,40,89,90,0.16992500144231237
0yuyt6qj,vertical_bar,41,7,10,1.6438561897747248
0yuyt6qj,pie,42,54,57,1.6438561897747248
0yuyt6qj,horizontal_bar,43,74,78,2.0443941193584534
0yuyt6qj,vertical_bar,44,87,80,2.8328900141647417
0yuyt6qj,horizontal_bar,45,37,43,2.6147098441152083
0yuyt6qj,vertical_bar,46,65,57,3.0223678130284544
0yuyt6qj,vertical_bar,47,31,33,1.0874628412503393
0yuyt6qj,vertical_bar,48,16,20,2.0443941193584534
0yuyt6qj,horizontal_bar,49,11,15,2.0443941193584534
0yuyt6qj,vertical_bar,50,35,45,3.3398500028846247
0yuyt6qj,vertical_bar,51,24,25,0.16992500144231237
0yuyt6qj,horizontal_bar,52,45,48,1.6438561897747248
0yuyt6qj,horizontal_bar,53,27,33,2.6147098441152083
0yuyt6qj,vertical_bar,54,89,90,0.16992500144231237
0yuyt6qj,vertical_bar,55,3,4,0.16992500144231237
0yuyt6qj,horizontal_bar,56,49,50,0.16992500144231237
0yuyt6qj,horizontal_bar,57,51,53,1.0874628412503393
0yuyt6qj,horizontal_bar,58,33,35,1.0874628412503393
0yuyt6qj,vertical_bar,59,17,20,1.6438561897747248
0yuyt6qj,vertical_bar,60,67,75,3.0223678130284544
suya7c8d,pie,1,94,90,2.0443941193584534
suya7c8d,horizontal_bar,2,97,90,2.8328900141647417
suya7c8d,pie,3,88,80,3.0223678130284544
suya7c8d,horizontal_bar,4,28,33,2.357552004618084
suya7c8d,pie,5,24,25,0.16992500144231237
suya7c8d,vertical_bar,6,84,80,2.0443941193584534
suya7c8d,pie,7,41,60,4.257387842692652
suya7c8d,vertical_bar,8,96,90,2.6147098441152083
suya7c8d,pie,9,49,60,3.4757334309663976
suya7c8d,horizontal_bar,10,60,70,3.3398500028846247
suya7c8d,horizontal_bar,11,65,75,3.3398500028846247
suya7c8d,vertical_bar,12,48,45,1.6438561897747248
suya7c8d,vertical_bar,13,83,85,1.0874628412503393
suya7c8d,vertical_bar,14,94,95,0.16992500144231237
suya7c8d,horizontal_bar,15,69,75,2.6147098441152083
suya7c8d,pie,16,63,60,1.6438561897747248
suya7c8d,vertical_bar,17,55,50,2.357552004618084
suya7c8d,pie,18,89,100,3.4757334309663976
suya7c8d,pie,19,99,100,0.16992500144231237
suya7c8d,vertical_bar,20,1,5,2.0443941193584534
suya7c8d,vertical_bar,21,45,45,0
suya7c8d,vertical_bar,22,12,15,1.6438561897747248
suya7c8d,horizontal_bar,23,0,0,0
suya7c8d,horizontal_bar,24,97,95,1.0874628412503393
suya7c8d,pie,25,27,15,3.599912842187128
suya7c8d,horizontal_bar,26,10,15,2.357552004618084
suya7c8d,vertical_bar,27,86,85,0.16992500144231237
suya7c8d,vertical_bar,28,78,80,1.0874628412503393
suya7c8d,pie,29,71,75,2.0443941193584534
suya7c8d,vertical_bar,30,51,50,0.16992500144231237
suya7c8d,pie,31,56,60,2.0443941193584534
